generation,best_penalty,average_penalty
1210,46.0,83.0
1211,46.0,94.0
1212,46.0,89.0
1213,46.0,88.0
1214,46.0,90.0
1215,46.0,78.0
1216,46.0,90.0
1217,46.0,72.0
1218,46.0,78.0
1219,46.0,105.0
1220,46.0,106.0
1221,46.0,75.0
1222,46.0,72.0
1223,46.0,79.0
1224,46.0,88.0
1225,46.0,84.0
1226,46.0,93.0
1227,46.0,109.0
1228,46.0,84.0
1229,46.0,94.0
1230,46.0,102.0
1231,46.0,69.0
1232,46.0,77.0
1233,46.0,70.0
1234,46.0,95.0
1235,46.0,80.0
1236,46.0,91.0
1237,46.0,93.0
1238,46.0,96.0
1239,46.0,93.0
1240,46.0,89.0
1241,46.0,89.0
1242,46.0,97.0
1243,46.0,86.0
1244,46.0,86.0
1245,46.0,83.0
1246,46.0,82.0
1247,46.0,76.0
1248,46.0,86.0
1249,46.0,71.0
1250,46.0,69.0
1251,46.0,65.0
1252,46.0,78.0
1253,46.0,81.0
1254,46.0,83.0
1255,46.0,100.0
1256,46.0,69.0
1257,46.0,77.0
1258,46.0,84.0
1259,46.0,83.0
1260,46.0,80.0
1261,46.0,70.0
1262,46.0,61.0
1263,46.0,80.0
1264,46.0,72.0
1265,46.0,78.0
1266,46.0,90.0
1267,46.0,103.0
1268,46.0,107.0
1269,46.0,89.0
1270,46.0,90.0
1271,46.0,79.0
1272,46.0,96.0
1273,46.0,84.0
1274,46.0,82.0
1275,46.0,82.0
1276,46.0,84.0
1277,46.0,97.0
1278,46.0,95.0
1279,46.0,77.0
1280,46.0,89.0
1281,46.0,81.0
1282,46.0,91.0
1283,46.0,94.0
1284,46.0,247.0
1285,46.0,111.0
1286,46.0,85.0
1287,46.0,85.0
1288,46.0,93.0
1289,46.0,113.0
1290,46.0,83.0
1291,46.0,85.0
1292,46.0,89.0
1293,46.0,83.0
1294,46.0,61.0
1295,46.0,72.0
1296,46.0,69.0
1297,46.0,80.0
1298,46.0,70.0
1299,46.0,89.0
1300,46.0,80.0
1301,46.0,78.0
1302,46.0,69.0
1303,46.0,78.0
1304,46.0,72.0
1305,46.0,72.0
1306,46.0,86.0
1307,46.0,88.0
1308,46.0,73.0
1309,46.0,90.0
1310,46.0,83.0
1311,46.0,78.0
1312,46.0,85.0
1313,46.0,84.0
1314,46.0,72.0
1315,46.0,78.0
1316,46.0,76.0
1317,46.0,78.0
1318,46.0,80.0
1319,46.0,62.0
1320,46.0,65.0
1321,46.0,76.0
1322,46.0,73.0
1323,46.0,91.0
1324,46.0,76.0
1325,46.0,90.0
1326,46.0,74.0
1327,46.0,77.0
1328,46.0,62.0
1329,46.0,82.0
1330,46.0,79.0
1331,46.0,80.0
1332,46.0,76.0
1333,46.0,85.0
1334,46.0,77.0
1335,46.0,77.0
1336,46.0,85.0
1337,46.0,81.0
1338,46.0,78.0
1339,46.0,85.0
1340,46.0,75.0
1341,46.0,67.0
1342,46.0,71.0
1343,46.0,86.0
1344,46.0,83.0
1345,46.0,243.0
1346,46.0,91.0
1347,46.0,107.0
1348,46.0,65.0
1349,46.0,76.0
1350,46.0,67.0
1351,46.0,70.0
1352,46.0,76.0
1353,46.0,77.0
1354,46.0,81.0
